Section,Table/Figure,Title,Period,Country,Age_years,Breakdown/Measure,Data_Type,Value,Value_Denominator,Value_Numerator
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,24,Foot exam,%,62.8,15895.0,9980.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,25,Foot exam,%,62.9,16320.0,10270.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,15,BMI,%,88.5,10960.0,9700.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,16,BMI,%,88.6,11490.0,10185.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,17,BMI,%,86.7,12140.0,10525.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,18,BMI,%,82.2,12955.0,10645.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,19,BMI,%,75.9,13640.0,10350.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,20,BMI,%,75.6,14205.0,10740.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,21,BMI,%,75.8,14675.0,11120.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,22,BMI,%,76.3,15205.0,11595.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,23,BMI,%,75.8,15505.0,11750.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,24,BMI,%,75.5,15895.0,12005.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,25,BMI,%,76.4,16320.0,12465.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,15,Cholesterol,%,55.4,10960.0,6070.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,16,Cholesterol,%,59.9,11490.0,6880.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,17,Cholesterol,%,64.3,12140.0,7805.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,18,Cholesterol,%,65.2,12955.0,8445.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,19,Cholesterol,%,65.4,13640.0,8915.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,20,Cholesterol,%,66.7,14205.0,9470.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,21,Cholesterol,%,68.2,14675.0,10005.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,22,Cholesterol,%,69.3,15205.0,10535.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,23,Cholesterol,%,69.8,15505.0,10820.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,24,Cholesterol,%,70.5,15895.0,11200.0
Care Processes,Figure 2,"Care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,25,Cholesterol,%,71.3,16320.0,11630.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,15,,%,36.7,10960.0,4025.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,16,,%,36.5,11490.0,4190.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,17,,%,35.7,12140.0,4335.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,18,,%,31.0,12955.0,4020.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,19,,%,27.9,13640.0,3800.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,20,,%,28.5,14205.0,4055.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,21,,%,29.0,14675.0,4255.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,22,,%,30.1,15205.0,4580.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,23,,%,29.8,15505.0,4620.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,24,,%,30.2,15895.0,4800.0
Care Processes,Figure 3,"All 6 care process completion rates in adolescents and young adults with type 1 diabetes, by age at audit year start",2017-21,England,25,,%,30.1,16320.0,4920.0
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,15,Median,n,65.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,16,Median,n,66.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,17,Median,n,68.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,18,Median,n,70.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,19,Median,n,71.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,20,Median,n,73.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,21,Median,n,72.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,22,Median,n,71.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,23,Median,n,70.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,24,Median,n,70.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,25,Median,n,69.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,15,Mean,n,69.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,16,Mean,n,71.5,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,17,Mean,n,73.0,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,18,Mean,n,75.2,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,19,Mean,n,76.3,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,20,Mean,n,76.8,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,21,Mean,n,76.1,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,22,Mean,n,75.4,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,23,Mean,n,74.3,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,24,Mean,n,73.7,,
Treatment target,Figure 4,Median and mean HbA1c result (mmol/mol) by age at HbA1c result,2017-21,England,25,Mean,n,73.1,,
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,15,,%,32.8,9090.0,2980.0
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,16,,%,30.8,9865.0,3035.0
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,17,,%,28.4,10975.0,3115.0
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,18,,%,25.1,11270.0,2825.0
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,19,,%,23.5,10955.0,2570.0
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,20,,%,22.0,11155.0,2450.0
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,21,,%,22.7,11555.0,2620.0
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,22,,%,23.6,12130.0,2865.0
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,23,,%,25.2,12570.0,3165.0
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,24,,%,25.7,12910.0,3315.0
Treatment target,Figure 5,Percentage of adolescents and young adults with type 1 diabetes achieving HbA1c <= 58 mmol/mol by age at HbA1c result,2017-21,England,25,,%,27.2,13250.0,3600.0
Treatment target,Figure 6,Percentage of adolescents and young adults with type 1 diabetes and HbA1c > 86 mmol/mol by age at HbA1c result,2017-21,England,15,,%,15.8,9090.0,1440.0
Treatment target,Figure 6,Percentage of adolescents and young adults with type 1 diabetes and HbA1c > 86 mmol/mol by age at HbA1c result,2017-21,England,16,,%,19.9,9865.0,1960.0
Treatment target,Figure 6,Percentage of adolescents and young adults with type 1 diabetes and HbA1c > 86 mmol/mol by age at HbA1c result,2017-21,England,17,,%,22.6,10975.0,2480.0
